pergunta;resposta_esperada;resposta_usuario;pontuacao
Quem foi o responsável pela unificação da Alemanha?;Otto von Bismarck liderou a unificação da Alemanha no século XIX(19);Napoleão Bonaparte unificou a Alemanha;0
Quem foi o responsável pela unificação da Alemanha?;Otto von Bismarck liderou a unificação da Alemanha no século XIX(19);Hitler unificou a Alemanha no século 20;0
Quem foi o responsável pela unificação da Alemanha?;Otto von Bismarck liderou a unificação da Alemanha no século XIX(19);A Alemanha se unificou sozinha;0
Quem foi o responsável pela unificação da Alemanha?;Otto von Bismarck liderou a unificação da Alemanha no século XIX(19);Um grupo de líderes alemães liderou a unificação;0
Quem foi o responsável pela unificação da Alemanha?;Otto von Bismarck liderou a unificação da Alemanha no século XIX(19);Foi no século 19, mas não lembro quem liderou;0
Quem foi o responsável pela unificação da Alemanha?;Otto von Bismarck liderou a unificação da Alemanha no século XIX(19);Oto von bismack ;1
Quem foi o responsável pela unificação da Alemanha?;Otto von Bismarck liderou a unificação da Alemanha no século XIX(19);Otto von Bismarck, um chanceler prussiano;1
Quem foi o responsável pela unificação da Alemanha?;Otto von Bismarck liderou a unificação da Alemanha no século XIX(19);Otto von Bismarck liderou o processo de unificação;1
Quem foi o responsável pela unificação da Alemanha?;Otto von Bismarck liderou a unificação da Alemanha no século XIX(19);Otto von Bismarck foi o responsável pela unificação da Alemanha;1
Quem foi o responsável pela unificação da Alemanha?;Otto von Bismarck liderou a unificação da Alemanha no século XIX(19);A unificação foi liderada por Otto von Bismarck no século XIX;1
Quem foi o responsável pela unificação da Alemanha?;Otto von Bismarck liderou a unificação da Alemanha no século XIX(19);Otto Von Bismark ;1
Quem foi o responsável pela unificação da Alemanha?;Otto von Bismarck liderou a unificação da Alemanha no século XIX(19);algum  alemão ai;0
Quem foi o responsável pela unificação da Alemanha?;Otto von Bismarck liderou a unificação da Alemanha no século XIX(19);seu nome era Otto Bismarck,  no século 19 ;1
Quem foi o responsável pela unificação da Alemanha?;Otto von Bismarck liderou a unificação da Alemanha no século XIX(19);Otto von bismarck unificou a alemanha;1
Quem foi o responsável pela unificação da Alemanha?;Otto von Bismarck liderou a unificação da Alemanha no século XIX(19);o primeiro rei Alemão;0
Quem foi o responsável pela unificação da Alemanha?;Otto von Bismarck liderou a unificação da Alemanha no século XIX(19);um general da alemanha em 1903;0
Quem foi o responsável pela unificação da Alemanha?;Otto von Bismarck liderou a unificação da Alemanha no século XIX(19);o presidente da alemanha;0
Quem foi o responsável pela unificação da Alemanha?;Otto von Bismarck liderou a unificação da Alemanha no século XIX(19);alguem importante;0
Quem foi o responsável pela unificação da Alemanha?;Otto von Bismarck liderou a unificação da Alemanha no século XIX(19);não sei, um alemão talvez.;0
